Hours Studied,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Target
1,Yes,8,8,0.6941379310344827
9,No,9,9,0.9514285714285714
7,Yes,4,7,0.8763934426229509
9,Yes,5,5,0.9779268292682928
8,Yes,4,2,0.8303225806451613
1,Yes,9,1,0.7312500000000001
8,Yes,7,3,0.8288372093023255
8,No,7,3,0.8880882352941176
3,Yes,5,0,0.6416666666666667
1,Yes,8,8,0.37124999999999997
8,Yes,6,9,0.9367741935483871
3,No,4,7,0.6456521739130434
3,Yes,9,6,0.7133823529411765
1,Yes,8,5,0.5537288135593221
5,Yes,9,2,0.825
7,No,8,3,0.878625
9,Yes,4,1,0.9661445783132532
7,No,6,6,0.8844000000000001
9,No,4,1,0.95
8,Yes,6,9,0.9413114754098361
2,No,9,0,0.5521153846153846
1,No,5,5,0.4519565217391304
7,Yes,6,3,0.8004255319148936
7,Yes,8,7,0.8865671641791044
8,Yes,5,0,0.8957142857142857
5,Yes,9,8,0.8330487804878048
3,No,7,5,0.6187499999999999
8,No,5,1,0.8817187499999999
6,Yes,6,7,0.8441052631578948
3,Yes,5,4,0.6479999999999999
1,Yes,9,4,0.5051020408163265
3,No,5,4,0.5346
5,Yes,9,6,0.8627142857142857
3,No,7,6,0.66
1,No,6,9,0.76
5,No,8,6,0.806142857142857
7,No,5,9,0.840566037735849
7,Yes,4,1,0.8360000000000001
9,Yes,8,7,0.99
3,Yes,5,0,0.6971830985915494
7,No,8,1,0.9010112359550563
1,No,4,6,0.7102173913043479
4,Yes,8,3,0.6717857142857143
4,No,8,9,0.7491891891891892
5,No,4,9,0.61875
7,No,4,8,0.815294117647059
7,Yes,4,8,0.902
4,Yes,7,2,0.5295348837209303
7,Yes,9,2,0.8941935483870969
3,No,9,8,0.6797014925373135
6,Yes,4,9,0.7739999999999999
2,Yes,9,7,0.5823529411764706
9,Yes,8,0,0.9900000000000001
5,No,4,5,0.7425
6,No,5,6,0.825
4,No,4,7,0.6364285714285715
7,No,4,1,0.8897468354430379
9,No,9,0,0.9328846153846153
7,Yes,6,3,0.892087912087912
1,Yes,8,0,0.7246391752577319
1,No,9,1,0.5995774647887324
9,No,8,2,1.0030263157894739
9,Yes,5,3,0.956629213483146
4,No,7,5,0.6233333333333334
9,No,6,7,0.9511764705882353
3,No,5,8,0.77625
7,No,5,3,0.86625
6,No,8,0,0.7516666666666667
8,Yes,6,4,0.9221917808219179
9,Yes,8,4,0.9680000000000001
5,No,7,8,0.7248214285714285
1,No,8,5,0.6599999999999999
3,Yes,4,4,0.7650000000000001
8,No,8,9,0.9693749999999999
6,Yes,4,9,0.7886440677966102
8,No,5,4,0.8250000000000001
9,Yes,7,7,1.010204081632653
4,Yes,9,0,0.5175000000000001
1,No,4,4,0.5748387096774193
1,No,7,0,0.64625
4,Yes,8,6,0.7714285714285714
7,No,9,6,0.8649473684210526
2,Yes,8,9,0.6164150943396227
3,No,5,7,0.6364285714285715
1,No,8,6,0.7631249999999999
5,No,4,8,0.7168965517241379
1,Yes,5,7,0.64625
8,Yes,7,7,0.76725
1,No,5,2,0.495
1,Yes,7,9,0.6755294117647058
2,No,6,3,0.63
2,Yes,4,3,0.396
6,No,4,0,0.858673469387755
7,Yes,7,5,0.792
5,Yes,8,1,0.7974999999999999
1,Yes,9,8,0.6456521739130434
1,Yes,8,0,0.6988235294117647
3,Yes,6,0,0.7491891891891892
2,Yes,7,9,0.6706451612903225
5,No,6,5,0.666734693877551
6,No,7,0,0.8470000000000001
7,Yes,6,2,0.8705172413793104
4,No,7,9,0.792
7,Yes,4,1,0.8422388059701491
8,No,6,8,0.8462903225806452
1,No,6,4,0.3683720930232558
6,No,7,5,0.7550847457627119
8,No,5,1,0.8363793103448276
5,Yes,5,7,0.8188888888888889
4,No,4,5,0.735
2,No,8,7,0.7528125
6,No,8,7,0.8815068493150685
6,Yes,4,0,0.6216279069767442
1,No,8,6,0.7503157894736842
9,Yes,9,1,0.9514285714285714
6,Yes,9,7,0.8178260869565218
3,No,9,1,0.7624137931034484
4,Yes,9,3,0.602608695652174
4,No,7,1,0.8120224719101123
3,No,5,6,0.7832967032967032
3,No,4,4,0.6396923076923077
3,No,7,8,0.7158461538461538
4,No,9,4,0.8196774193548387
7,No,4,7,0.8363793103448276
4,No,5,1,0.6187499999999999
9,Yes,8,2,0.9061016949152544
1,Yes,7,5,0.6844444444444445
8,No,5,6,0.8839285714285714
7,No,4,9,0.8676404494382023
2,Yes,6,7,0.576
8,No,7,2,0.9474193548387096
1,Yes,4,6,0.5126785714285714
9,Yes,4,7,0.9250819672131148
9,No,5,9,0.9138461538461538
2,No,4,5,0.5241176470588236
7,Yes,7,3,0.7677551020408163
3,Yes,9,5,0.4455
7,No,7,8,0.9202816901408452
9,No,4,2,0.9326086956521739
4,Yes,5,1,0.5687234042553192
1,Yes,7,4,0.5445
2,Yes,6,6,0.6004918032786886
1,No,9,2,0.5036842105263157
5,No,8,4,0.6278048780487805
5,No,5,3,0.8193103448275861
7,Yes,5,6,0.9184337349397591
9,Yes,8,1,0.928125
9,No,8,6,0.9664285714285713
3,Yes,7,1,0.7770967741935483
3,Yes,4,2,0.6549230769230769
3,Yes,4,4,0.6435
4,Yes,6,6,0.7747826086956522
8,Yes,9,5,0.9161194029850745
6,No,4,6,0.8316
8,No,6,5,0.8986153846153846
1,No,6,0,0.6238356164383562
8,No,5,4,0.8846808510638298
4,No,5,0,0.6061224489795918
1,Yes,9,6,0.7168965517241379
8,Yes,7,3,0.9373404255319149
4,Yes,8,4,0.7485365853658537
6,No,8,0,0.8565168539325843
8,Yes,9,7,0.9367741935483871
4,Yes,6,3,0.6537735849056603
3,Yes,9,2,0.7518987341772151
9,No,8,0,0.968936170212766
3,Yes,6,3,0.6966666666666668
9,Yes,8,2,0.9900000000000001
2,No,7,7,0.7532608695652173
2,No,5,8,0.6078947368421052
2,Yes,5,4,0.6553521126760563
6,No,6,8,0.8485714285714286
3,Yes,9,0,0.6866129032258064
9,No,8,6,0.9434117647058824
4,Yes,4,6,0.6866129032258064
1,Yes,7,5,0.6154054054054054
4,No,8,3,0.7742307692307693
1,No,4,8,0.49500000000000005
5,No,7,2,0.8285869565217392
4,No,7,0,0.6757142857142857
8,Yes,5,1,0.8865671641791044
8,No,6,2,0.8639999999999999
7,Yes,8,1,0.8459999999999999
3,Yes,7,5,0.7518987341772151
1,Yes,8,6,0.6726923076923077
1,No,7,4,0.41800000000000004
3,Yes,9,4,0.5553658536585366
6,Yes,5,6,0.8622580645161291
7,No,6,5,0.780576923076923
6,Yes,4,7,0.8468674698795181
6,Yes,4,8,0.8633720930232558
6,Yes,9,1,0.8990816326530612
3,No,5,1,0.5775
6,Yes,7,0,0.8136986301369863
8,Yes,5,6,0.9546428571428572
2,Yes,6,3,0.615
5,No,4,8,0.7570588235294118
1,No,8,5,0.6903947368421054
1,No,4,6,0.6278048780487805
5,Yes,6,6,0.7627868852459017
3,Yes,7,7,0.781
4,Yes,5,3,0.66
3,Yes,4,2,0.4519565217391304
1,Yes,4,2,0.650958904109589
1,No,8,9,0.7282758620689656
5,Yes,5,7,0.7376470588235294
6,Yes,8,2,0.7824193548387096
3,No,8,7,0.6416666666666667
9,No,7,1,1.00375
5,Yes,4,4,0.8353125
8,No,9,4,0.8948076923076922
1,No,5,6,0.5748387096774193
5,No,7,4,0.8099999999999999
3,Yes,9,8,0.7250704225352114
1,No,7,2,0.6835714285714285
4,Yes,7,8,0.8565168539325843
5,No,6,0,0.7759459459459459
7,Yes,6,2,0.8167500000000001
1,Yes,7,3,0.7712790697674419
3,Yes,6,5,0.7756701030927835
2,No,5,9,0.7307142857142856
9,No,4,7,0.8325
6,No,9,6,0.886875
3,Yes,5,7,0.7044230769230768
8,No,4,5,0.9367741935483871
8,No,6,5,0.8550000000000001
2,Yes,9,5,0.76
6,No,5,2,0.7947887323943662
7,Yes,8,9,0.902
2,No,7,3,0.5774999999999999
2,Yes,4,5,0.6442857142857142
1,Yes,4,6,0.75
8,No,8,2,0.8857894736842105
1,Yes,8,3,0.561
9,No,7,5,0.9793548387096774
6,No,6,0,0.7879591836734694
7,No,5,6,0.8800000000000001
7,No,5,0,0.8646835443037973
3,Yes,5,9,0.7943023255813952
2,Yes,6,8,0.66
9,Yes,7,9,0.97453125
8,No,5,8,0.9356043956043956
7,No,4,8,0.89
9,Yes,4,3,0.9693749999999999
4,Yes,4,1,0.7980612244897959
4,No,8,6,0.7025806451612903
1,No,8,3,0.5355737704918033
8,No,6,4,0.8288372093023255
3,Yes,5,0,0.678082191780822
7,No,8,9,0.979578947368421
2,Yes,4,5,0.48400000000000004
2,No,8,6,0.6501492537313432
7,Yes,4,2,0.8485714285714285
6,No,5,9,0.8562162162162162
3,Yes,6,1,0.7361538461538462
9,Yes,7,9,0.9533333333333333
6,Yes,7,6,0.8143548387096774
6,No,4,0,0.66
1,Yes,8,1,0.5219999999999999
4,Yes,8,2,0.531219512195122
6,No,4,3,0.8014285714285715
6,Yes,5,4,0.7955357142857143
5,Yes,4,3,0.825
1,No,5,9,0.24750000000000003
8,Yes,6,2,0.8360000000000001
5,No,6,0,0.675
5,Yes,4,6,0.845625
7,No,6,9,0.8721428571428571
4,Yes,8,5,0.87
6,Yes,5,1,0.8109574468085107
4,Yes,7,1,0.8008988764044943
3,No,7,2,0.7425
7,Yes,6,7,0.7764705882352941
8,Yes,5,7,0.9138461538461539
4,No,8,9,0.7827906976744187
2,No,7,9,0.5185714285714286
3,No,8,9,0.7624137931034484
1,Yes,8,9,0.4455
8,Yes,7,7,0.9600000000000001
3,Yes,7,6,0.7510344827586207
7,No,6,1,0.7857142857142857
5,No,5,0,0.8110843373493977
5,Yes,4,5,0.7510344827586207
7,Yes,5,7,0.9091836734693878
9,No,4,0,0.8636170212765957
5,No,7,2,0.8741489361702127
1,No,8,0,0.6798795180722891
1,Yes,5,9,0.7367441860465116
2,No,8,8,0.4346341463414634
6,No,5,6,0.8895652173913042
9,No,9,7,0.9469565217391304
8,No,5,8,0.95625
5,Yes,8,2,0.786923076923077
1,No,9,9,0.7307142857142856
7,Yes,6,1,0.8645070422535212
5,Yes,7,5,0.6435000000000001
6,No,6,4,0.8485714285714286
7,No,6,3,0.8186538461538461
3,Yes,5,5,0.594
3,No,7,5,0.5051020408163265
5,Yes,9,2,0.8762068965517241
6,No,5,1,0.8889795918367347
9,Yes,4,8,0.9443076923076923
5,Yes,5,7,0.8545263157894737
1,Yes,9,3,0.7688297872340425
4,No,8,5,0.7383050847457627
5,Yes,5,2,0.7071428571428572
5,Yes,4,7,0.6894642857142858
7,No,5,2,0.7827906976744187
4,No,9,1,0.6075
1,Yes,4,6,0.73
5,Yes,7,2,0.734516129032258
7,No,9,8,0.9084705882352941
6,Yes,5,2,0.8703296703296703
5,No,4,7,0.666734693877551
4,No,9,1,0.792
2,No,7,8,0.6649253731343283
4,Yes,8,0,0.77
3,No,6,2,0.7002439024390243
1,Yes,4,1,0.5635384615384615
8,Yes,8,6,0.9268085106382978
5,No,7,4,0.8342696629213483
4,No,8,7,0.796551724137931
8,No,5,1,0.9026470588235295
7,No,6,7,0.855
2,Yes,4,6,0.5557894736842105
1,Yes,9,4,0.6641772151898734
4,No,7,1,0.82
8,Yes,6,9,0.8283673469387755
2,No,7,6,0.7654639175257733
3,Yes,8,9,0.7699999999999999
1,Yes,7,3,0.38250000000000006
1,Yes,7,3,0.48489795918367345
3,No,8,7,0.7675280898876404
5,Yes,8,5,0.7755
3,Yes,6,8,0.6757142857142857
1,Yes,4,1,0.6171428571428571
1,Yes,8,4,0.40071428571428575
8,No,6,5,0.939873417721519
2,Yes,7,7,0.7637142857142858
3,No,7,3,0.730125
2,No,9,6,0.7294736842105264
3,Yes,5,6,0.4829268292682927
7,Yes,8,3,0.8209756097560976
1,No,6,0,0.6853846153846155
8,No,9,2,0.93375
2,No,6,1,0.721111111111111
3,Yes,4,2,0.7514457831325302
9,Yes,9,4,0.9764383561643836
7,No,6,0,0.8555555555555554
4,No,8,4,0.6879661016949152
5,No,6,1,0.7425
2,Yes,5,3,0.4834883720930232
8,Yes,7,5,0.9782142857142856
4,No,7,8,0.7633734939759037
9,Yes,9,9,1.0098
5,No,6,5,0.8066666666666666
9,Yes,6,9,0.9554651162790697
4,No,6,1,0.5850000000000001
5,Yes,6,7,0.75796875
9,Yes,5,4,0.95625
8,Yes,8,8,0.95
3,Yes,5,9,0.7294736842105264
1,Yes,5,8,0.678082191780822
3,Yes,5,3,0.474375
4,Yes,7,0,0.5720000000000001
2,No,5,8,0.5210526315789473
1,No,6,8,0.5230188679245283
7,No,5,7,0.8193103448275861
8,Yes,6,4,0.8592452830188679
7,Yes,9,4,0.9148101265822784
5,Yes,8,9,0.7955357142857143
1,No,7,5,0.76
7,No,8,0,0.9498648648648648
7,No,9,8,0.8735294117647059
9,No,8,4,0.9411111111111111
3,No,7,6,0.6364285714285715
9,No,6,7,0.9697959183673469
1,Yes,9,4,0.7485365853658537
1,No,9,2,0.4634042553191489
4,Yes,6,5,0.51975
9,No,6,6,0.9310714285714285
6,No,7,3,0.8823913043478261
3,Yes,5,8,0.7260000000000001
1,Yes,4,3,0.47347826086956524
4,Yes,5,9,0.8152941176470588
9,No,5,1,0.8325
3,No,8,8,0.66
9,Yes,4,3,0.9456716417910448
7,No,6,3,0.8692682926829268
4,Yes,5,9,0.7425
3,No,7,0,0.7294736842105264
5,No,5,1,0.7215254237288136
5,No,6,2,0.5657142857142857
3,Yes,5,6,0.7164473684210527
9,No,9,8,0.9747692307692307
4,Yes,8,4,0.6233333333333334
5,Yes,8,3,0.8580000000000001
4,Yes,5,1,0.8079310344827586
5,Yes,8,6,0.6951063829787234
7,Yes,7,5,0.8757692307692307
9,Yes,4,6,0.9786206896551723
7,Yes,5,7,0.8014285714285715
5,Yes,7,8,0.6435000000000001
7,Yes,9,9,0.9075
5,No,7,4,0.7495714285714286
3,Yes,7,4,0.754875
7,No,9,3,0.8941935483870966
2,Yes,6,2,0.6092307692307692
9,No,5,6,0.9369642857142858
1,No,5,4,0.6982105263157895
6,No,5,6,0.7865753424657534
7,No,4,1,0.845625
8,No,7,8,0.9274736842105263
9,No,5,8,0.935
2,Yes,8,8,0.6282692307692307
2,Yes,6,4,0.45000000000000007
5,Yes,9,9,0.8167500000000001
5,Yes,9,8,0.7234615384615384
6,Yes,4,0,0.61875
3,Yes,9,1,0.6651562499999999
8,No,6,9,0.9094186046511628
1,Yes,7,4,0.3683720930232558
6,No,9,4,0.8844000000000001
4,No,9,5,0.8703296703296703
1,No,8,7,0.5253061224489796
7,No,7,0,0.8422388059701491
9,No,5,9,0.9384375
4,No,6,8,0.638
4,Yes,9,3,0.72
6,No,8,7,0.8753684210526316
3,No,6,4,0.6405882352941177
6,Yes,4,0,0.892087912087912
7,Yes,8,8,0.9217241379310346
3,Yes,4,7,0.5657142857142857
7,Yes,9,4,0.9434117647058824
3,Yes,8,3,0.7425
2,Yes,5,7,0.5051020408163265
4,Yes,6,8,0.7495714285714286
8,No,6,6,0.88
9,Yes,7,3,0.8608695652173913
7,No,8,6,0.8712000000000001
1,Yes,8,5,0.5416981132075471
3,Yes,4,2,0.7607368421052632
9,No,8,9,1.0127586206896553
1,Yes,6,2,0.5043396226415094
9,Yes,8,0,0.9428571428571428
8,Yes,7,4,0.93375
1,Yes,7,7,0.7424999999999999
6,Yes,6,5,0.8385882352941176
5,Yes,6,7,0.8565168539325843
6,Yes,6,6,0.7542857142857142
5,No,8,1,0.7952459016393443
6,Yes,8,7,0.7510344827586207
5,No,5,3,0.7625675675675675
5,No,9,4,0.66
4,No,9,7,0.8090322580645161
3,No,4,4,0.49500000000000005
3,No,8,4,0.6061224489795918
4,No,5,5,0.8291250000000001
9,No,5,6,0.97625
2,Yes,7,8,0.5521153846153846
9,Yes,8,6,0.99
1,Yes,5,5,0.7370000000000001
1,No,7,9,0.6414084507042255
5,Yes,4,3,0.6732
6,No,7,9,0.8648275862068966
6,No,4,1,0.8228571428571428
3,Yes,9,8,0.7228571428571429
7,No,9,9,0.9097297297297298
9,No,6,4,0.9899999999999999
8,Yes,6,4,0.902
6,No,7,2,0.8020253164556962
8,Yes,6,2,0.8941935483870966
5,No,8,0,0.825
8,No,7,4,0.9184337349397591
4,Yes,5,2,0.7333333333333333
8,Yes,8,1,0.8695945945945945
2,Yes,7,8,0.4834883720930232
5,No,9,9,0.825
9,No,4,5,0.9138461538461538
4,Yes,6,2,0.802421052631579
6,Yes,6,6,0.8316
1,Yes,6,8,0.7238709677419355
9,No,7,8,0.9779268292682928
1,No,8,0,0.49499999999999994
5,Yes,4,1,0.796829268292683
4,Yes,6,7,0.6988235294117647
3,Yes,8,0,0.5741999999999999
6,No,5,2,0.7040000000000001
2,Yes,9,6,0.601764705882353
3,Yes,5,7,0.675
5,Yes,4,4,0.8043750000000001
9,No,6,1,0.8817187499999999
2,No,5,2,0.7088888888888888
8,Yes,9,8,0.8957142857142857
2,No,8,9,0.5185714285714286
5,Yes,8,6,0.8054237288135594
7,Yes,5,0,0.8717910447761194
8,Yes,6,2,0.9261290322580644
1,Yes,9,8,0.7055172413793104
6,No,4,6,0.7071428571428571
1,Yes,6,1,0.6844444444444445
2,Yes,7,5,0.6285714285714287
1,No,5,8,0.7123170731707317
5,Yes,7,3,0.8145569620253165
9,No,5,9,0.9460000000000001
6,Yes,4,1,0.8054237288135594
1,Yes,6,2,0.47519999999999996
1,Yes,9,6,0.7111267605633803
2,Yes,6,3,0.81
9,No,5,6,0.93
3,Yes,8,4,0.7095
1,No,7,7,0.7514457831325302
5,No,9,7,0.8306896551724138
7,No,9,4,0.8453932584269663
6,Yes,6,6,0.8186538461538461
1,No,6,5,0.5518032786885246
5,No,5,7,0.7625675675675675
5,No,8,8,0.8288372093023255
6,Yes,7,4,0.7627868852459017
3,Yes,8,6,0.7683582089552239
5,No,9,0,0.8085
7,No,8,7,0.8968235294117648
5,Yes,5,2,0.7121052631578947
5,No,8,0,0.792
5,No,7,5,0.89
3,No,9,7,0.7570588235294118
1,Yes,4,2,0.6382894736842105
5,No,9,0,0.7919999999999999
9,No,4,2,0.8779245283018867
1,Yes,7,4,0.5723437499999999
3,No,9,7,0.72
4,Yes,9,8,0.7644303797468354
1,Yes,9,8,0.77
1,Yes,9,3,0.75
8,No,5,7,0.9101612903225805
2,No,6,4,0.6364285714285715
8,No,9,2,0.9439534883720929
7,No,5,4,0.9
2,No,7,1,0.6114705882352941
6,No,9,5,0.851860465116279
6,No,8,0,0.8608695652173912
3,No,9,5,0.803
2,Yes,9,4,0.6092307692307692
1,No,4,8,0.536949152542373
6,No,8,6,0.8614285714285714
5,Yes,9,5,0.7851724137931035
9,No,9,6,0.9750000000000001
1,Yes,9,9,0.6496875
7,No,5,4,0.8646835443037973
5,No,7,0,0.7971428571428572
5,Yes,4,8,0.8159340659340659
2,Yes,9,4,0.6387096774193548
3,No,7,3,0.6260294117647058
7,Yes,4,5,0.77
6,No,4,4,0.8485714285714285
2,No,4,0,0.35357142857142854
6,No,9,1,0.7879591836734694
2,No,5,3,0.47666666666666674
2,No,9,7,0.7607368421052632
2,No,9,4,0.612
3,Yes,7,6,0.6010714285714286
2,Yes,6,1,0.631551724137931
4,Yes,6,7,0.6732
9,No,6,4,0.9672413793103448
6,Yes,7,3,0.6975
1,No,8,8,0.405
8,Yes,7,5,0.9389690721649485
7,No,4,3,0.8218867924528301
3,No,9,7,0.8008988764044943
1,No,8,2,0.6092307692307692
5,No,4,9,0.6529787234042553
4,No,9,1,0.5625
8,Yes,9,6,0.9469565217391305
1,No,4,3,0.486
1,Yes,7,3,0.6951063829787234
4,No,6,9,0.6350943396226415
8,No,8,8,0.9118421052631579
5,No,9,1,0.8441052631578948
2,Yes,5,0,0.6930000000000001
6,No,9,6,0.6906976744186046
5,Yes,6,7,0.7919999999999999
2,No,9,2,0.7282758620689656
3,Yes,5,1,0.7711578947368422
9,Yes,7,3,0.9192857142857144
7,Yes,9,1,0.9669767441860464
7,No,8,1,0.8712000000000001
6,No,7,4,0.7040000000000001
8,Yes,5,9,0.8459999999999999
4,No,4,4,0.7425
8,No,9,7,0.8844000000000001
4,No,7,8,0.7328571428571428
8,Yes,9,1,0.9248684210526316
9,Yes,8,0,0.9786206896551723
3,No,9,2,0.7940625
3,Yes,7,5,0.8193103448275861
2,No,6,4,0.48489795918367345
3,No,7,7,0.7424999999999999
3,Yes,5,7,0.7260000000000001
5,Yes,7,1,0.7861764705882354
5,No,8,8,0.7284905660377359
2,No,7,3,0.43744186046511624
6,No,7,0,0.8110843373493977
5,Yes,8,1,0.8649473684210526
6,Yes,7,5,0.8799999999999999
1,No,8,4,0.6468
5,No,5,6,0.8231460674157303
9,Yes,8,8,1.0135714285714286
2,No,5,5,0.495
1,Yes,5,5,0.6988235294117647
9,Yes,8,1,0.9378947368421052
9,No,7,6,1.00375
9,No,9,1,1.0065
6,Yes,6,6,0.8099999999999999
8,No,9,7,1.045
1,Yes,8,0,0.7238709677419355
4,Yes,7,8,0.7424999999999999
1,Yes,5,7,0.38250000000000006
8,No,4,8,0.8140000000000001
1,No,6,4,0.6942857142857143
3,No,9,3,0.5185714285714286
4,Yes,7,0,0.8306896551724138
8,Yes,6,8,0.9123529411764706
6,Yes,4,3,0.8316
7,Yes,4,3,0.86625
8,No,4,3,0.8976000000000001
2,No,9,1,0.715
8,No,8,3,0.9051428571428571
3,Yes,6,1,0.627
7,Yes,8,7,0.9
3,No,4,6,0.675
7,Yes,7,9,0.8214893617021277
2,No,4,1,0.781578947368421
6,Yes,8,1,0.8727631578947369
3,Yes,4,1,0.6692957746478874
3,Yes,4,0,0.6701538461538461
9,Yes,8,5,0.8934146341463415
7,Yes,8,5,0.7958823529411765
5,No,7,0,0.7627868852459017
7,No,8,0,0.7955357142857143
9,No,7,5,0.9254347826086956
1,Yes,5,5,0.6519512195121951
7,No,5,3,0.7367441860465116
6,No,8,2,0.8336842105263159
9,Yes,4,8,0.9514285714285714
1,Yes,6,5,0.6971830985915494
4,No,4,0,0.6534
9,No,8,2,0.891
4,No,7,0,0.69609375
3,No,4,2,0.7088888888888888
9,No,5,1,0.9247252747252747
2,Yes,9,4,0.6442857142857142
4,No,8,2,0.8393478260869566
6,No,4,6,0.760609756097561
2,No,9,7,0.792
8,No,4,6,0.9016071428571429
8,No,7,1,0.7582978723404254
1,No,7,9,0.7475510204081632
3,Yes,7,9,0.7660714285714286
9,Yes,9,6,0.9750000000000001
5,Yes,6,9,0.8594505494505494
6,No,9,2,0.7989473684210526
4,No,8,6,0.705
2,Yes,8,0,0.6816393442622951
8,No,5,1,0.828
6,No,5,9,0.8209756097560976
5,No,8,0,0.6075
9,Yes,4,8,0.903157894736842
1,Yes,8,1,0.40071428571428575
5,Yes,6,1,0.795
6,No,5,5,0.8941935483870966
5,Yes,5,6,0.6894642857142858
6,Yes,9,1,0.7919999999999999
6,Yes,5,3,0.792
7,No,8,2,0.8910000000000001
4,Yes,5,4,0.6456521739130434
8,Yes,5,8,0.8898876404494382
7,No,9,1,0.7658490566037736
9,Yes,8,4,0.99
7,No,4,7,0.8646835443037973
3,No,5,5,0.6233333333333334
3,Yes,5,3,0.7367441860465116
8,Yes,5,9,0.8979069767441861
5,Yes,6,7,0.8420689655172414
4,No,8,2,0.715
8,Yes,5,3,0.9175609756097561
6,Yes,6,8,0.795
2,Yes,4,4,0.6697058823529413
4,No,4,5,0.7940625
4,No,9,1,0.7685526315789474
6,No,9,8,0.7875
6,Yes,9,7,0.8880882352941176
1,Yes,6,6,0.6414084507042255
8,No,4,8,0.97
6,Yes,9,4,0.9254347826086956
3,Yes,7,4,0.528
9,No,9,8,0.8934146341463415
2,No,4,4,0.396
8,No,7,8,0.9783529411764705
3,Yes,6,0,0.7123170731707317
5,Yes,7,9,0.667674418604651
6,Yes,4,9,0.8753684210526316
6,No,5,7,0.8735294117647059
4,No,7,2,0.7879591836734694
3,Yes,4,7,0.7115625
4,No,9,4,0.639375
1,No,5,1,0.7086315789473685
4,Yes,6,8,0.5892857142857143
1,No,6,3,0.5635384615384615
1,Yes,8,6,0.7055172413793104
6,No,6,7,0.8330487804878048
5,Yes,8,6,0.75
4,No,6,5,0.7260000000000001
3,Yes,6,6,0.7529577464788734
1,No,6,3,0.297
6,No,8,9,0.9075
2,No,9,0,0.7424999999999999
8,No,8,4,0.9367741935483871
5,No,7,7,0.7379999999999999
7,Yes,4,9,0.913
2,Yes,4,5,0.7055172413793104
8,Yes,9,4,0.891
2,No,4,1,0.6396923076923077
4,Yes,6,9,0.8145569620253165
1,No,9,4,0.7688297872340425
5,No,4,9,0.56925
9,Yes,8,2,0.929076923076923
1,Yes,7,1,0.605820895522388
9,No,5,2,0.9146739130434782
8,No,7,3,0.9491752577319589
6,Yes,4,1,0.7218749999999999
7,Yes,9,3,0.92
3,No,4,3,0.7980612244897959
1,No,8,5,0.6798795180722891
5,Yes,7,4,0.7952459016393443
2,No,8,6,0.5897872340425533
5,No,8,6,0.8675257731958763
8,Yes,5,2,0.9225
9,Yes,8,8,0.9777777777777777
2,No,8,6,0.615
3,No,5,6,0.7234615384615384
3,Yes,6,1,0.6998275862068966
1,No,6,9,0.6651562499999999
8,Yes,9,2,0.9385714285714285
6,No,5,2,0.759
8,Yes,9,5,0.9585714285714285
9,No,9,3,0.9585714285714285
